Date,Community Total Cases,Dormitory Residents Total Cases,Imported Cases,Community 7DayRollingAverage,Dormitory Residents 7DayRollingAverage,Imported Cases 7DayRollingAverage
2021-07-01,4.0,0.0,6.0,3.0,0.0,6.0
2021-07-02,3.0,0.0,7.0,3.0,0.0,6.0
2021-07-03,4.0,0.0,3.0,3.0,0.0,7.0
2021-07-04,1.0,0.0,10.0,3.0,0.0,7.0
2021-07-05,6.0,0.0,7.0,3.0,0.0,8.0
2021-07-06,1.0,1.0,8.0,3.0,0.0,8.0
2021-07-07,5.0,0.0,7.0,3.0,0.0,9.0
2021-07-08,3.0,0.0,13.0,2.0,0.0,9.0
2021-07-09,1.0,0.0,9.0,2.0,0.0,9.0
2021-07-10,0.0,0.0,6.0,4.0,0.0,9.0
2021-07-11,1.0,0.0,7.0,9.0,0.0,9.0
2021-07-12,8.0,0.0,18.0,16.0,0.0,9.0
2021-07-13,19.0,0.0,7.0,26.0,0.0,8.0
2021-07-14,56.0,0.0,4.0,36.0,0.0,8.0
2021-07-15,42.0,0.0,6.0,47.0,0.0,7.0
2021-07-16,53.0,0.0,8.0,62.0,0.0,7.0
2021-07-17,60.0,0.0,8.0,83.0,0.0,7.0
2021-07-18,87.0,1.0,4.0,108.0,0.0,7.0
2021-07-19,163.0,0.0,9.0,133.0,0.0,8.0
2021-07-20,182.0,0.0,13.0,150.0,0.0,7.0
2021-07-21,179.0,0.0,2.0,157.0,1.0,7.0
2021-07-22,160.0,2.0,8.0,153.0,1.0,6.0
2021-07-23,130.0,0.0,3.0,143.0,1.0,5.0
2021-07-24,126.0,1.0,3.0,133.0,1.0,5.0
2021-07-25,116.0,1.0,8.0,127.0,2.0,5.0
2021-07-26,128.0,1.0,6.0,125.0,3.0,5.0
2021-07-27,128.0,8.0,3.0,126.0,3.0,5.0
2021-07-28,127.0,3.0,6.0,126.0,4.0,5.0
2021-07-29,126.0,3.0,4.0,124.0,4.0,5.0
2021-07-30,127.0,4.0,8.0,121.0,3.0,5.0
2021-07-31,116.0,1.0,3.0,115.0,3.0,6.0
2021-08-01,109.0,4.0,8.0,109.0,4.0,5.0
2021-08-02,102.0,4.0,5.0,102.0,4.0,5.0
2021-08-03,92.0,6.0,4.0,95.0,6.0,4.0
2021-08-04,86.0,6.0,3.0,88.0,8.0,4.0
2021-08-05,91.0,5.0,2.0,82.0,9.0,4.0
2021-08-06,75.0,18.0,4.0,75.0,11.0,4.0
2021-08-07,56.0,19.0,6.0,68.0,11.0,4.0
2021-08-08,69.0,4.0,5.0,63.0,11.0,4.0
2021-08-09,57.0,12.0,3.0,58.0,10.0,3.0
2021-08-10,47.0,6.0,1.0,54.0,8.0,3.0
2021-08-11,53.0,8.0,2.0,53.0,6.0,2.0
2021-08-12,55.0,4.0,0.0,51.0,5.0,2.0
2021-08-13,43.0,2.0,4.0,49.0,5.0,2.0
2021-08-14,53.0,4.0,1.0,46.0,6.0,3.0
2021-08-15,46.0,4.0,3.0,44.0,7.0,3.0
2021-08-16,34.0,14.0,5.0,42.0,7.0,4.0
2021-08-17,38.0,14.0,4.0,40.0,7.0,4.0
2021-08-18,47.0,2.0,4.0,37.0,5.0,4.0
2021-08-19,29.0,0.0,3.0,35.0,4.0,4.0
2021-08-20,34.0,2.0,4.0,34.0,6.0,4.0
2021-08-21,32.0,0.0,5.0,36.0,11.0,5.0
