,Community Cases Total Cases,Dormitory Residents Total Cases,Imported Cases Cases,comm-total,dorm-total,import-total
2021-07-01,4.0,0.0,6.0,,,
2021-07-02,3.0,0.0,7.0,,,
2021-07-03,4.0,0.0,3.0,,,
2021-07-04,1.0,0.0,10.0,,,
2021-07-05,6.0,0.0,7.0,,,
2021-07-06,1.0,1.0,8.0,,,
2021-07-07,5.0,0.0,7.0,,,
2021-07-08,3.0,0.0,13.0,,,
2021-07-09,1.0,0.0,9.0,,,
2021-07-10,0.0,0.0,6.0,,,
2021-07-11,1.0,0.0,7.0,,,
2021-07-12,8.0,0.0,18.0,,,
2021-07-13,19.0,0.0,7.0,,,
2021-07-14,56.0,0.0,4.0,,,
2021-07-15,42.0,0.0,6.0,,,
2021-07-16,53.0,0.0,8.0,,,
2021-07-17,60.0,0.0,8.0,,,
2021-07-18,87.0,1.0,4.0,,,
2021-07-19,163.0,0.0,9.0,,,
2021-07-20,182.0,0.0,13.0,,,
2021-07-21,179.0,0.0,2.0,,,
2021-07-22,160.0,2.0,8.0,,,
2021-07-23,130.0,0.0,3.0,,,
2021-07-24,126.0,1.0,3.0,,,
2021-07-25,116.0,1.0,8.0,,,
2021-07-26,128.0,1.0,6.0,,,
2021-07-27,128.0,8.0,3.0,,,
2021-07-28,127.0,3.0,6.0,,,
2021-07-29,126.0,3.0,4.0,,,
2021-07-30,127.0,4.0,8.0,,,
2021-07-31,116.0,1.0,3.0,,,
2021-08-01,109.0,4.0,8.0,,,
2021-08-02,102.0,4.0,5.0,,,
2021-08-03,92.0,6.0,4.0,,,
2021-08-04,86.0,6.0,3.0,,,
2021-08-05,91.0,5.0,2.0,,,
2021-08-06,75.0,18.0,4.0,,,
2021-08-07,56.0,19.0,6.0,,,
2021-08-08,69.0,4.0,5.0,,,
2021-08-09,57.0,12.0,3.0,,,
2021-08-10,47.0,6.0,1.0,,,
2021-08-11,53.0,8.0,2.0,,,
2021-08-12,55.0,4.0,0.0,,,
2021-08-13,43.0,2.0,4.0,,,
2021-08-14,53.0,4.0,1.0,,,
2021-08-15,46.0,4.0,3.0,,,
2021-08-16,34.0,14.0,5.0,,,
2021-08-17,38.0,14.0,4.0,,,
2021-08-18,47.0,2.0,4.0,,,
2021-08-19,29.0,0.0,3.0,,,
2021-08-20,34.0,2.0,4.0,,,
2021-08-21,32.0,0.0,5.0,,,
2021-08-22,26.0,3.0,6.0,,,
2021-08-23,34.0,60.0,4.0,,,
2021-08-24,88.0,23.0,5.0,,,
2021-08-25,92.0,26.0,2.0,,,
2021-08-26,99.0,13.0,4.0,,,
2021-08-27,113.0,7.0,2.0,,,
2021-08-28,99.0,14.0,8.0,,,
2021-08-29,109.0,15.0,9.0,,,
2021-08-30,123.0,24.0,8.0,,,
2021-08-31,136.0,20.0,5.0,,,
2021-09-01,166.0,11.0,3.0,,,
2021-09-02,177.0,11.0,3.0,,,
2021-09-03,210.0,6.0,3.0,,,
2021-09-04,246.0,7.0,6.0,,,
2021-09-05,175.0,11.0,5.0,,,
2021-09-06,215.0,20.0,6.0,,,
2021-09-07,300.0,28.0,4.0,,,
2021-09-08,329.0,18.0,2.0,,,
2021-09-09,419.0,31.0,7.0,,,
2021-09-10,460.0,108.0,5.0,,,
2021-09-11,486.0,64.0,5.0,,,
2021-09-12,454.0,63.0,3.0,,,
2021-09-13,533.0,63.0,11.0,,,
2021-09-14,756.0,77.0,4.0,,,
2021-09-15,770.0,34.0,3.0,,,
2021-09-16,803.0,103.0,4.0,,,
2021-09-17,838.0,96.0,1.0,,,
2021-09-18,927.0,78.0,4.0,,,
2021-09-19,920.0,90.0,2.0,,,
2021-09-20,832.0,78.0,7.0,,,
2021-09-21,1039.0,135.0,4.0,,,
2021-09-22,1277.0,176.0,4.0,,,
2021-09-23,1219.0,273.0,12.0,,,
2021-09-24,1369.0,277.0,4.0,,,
2021-09-25,1053.0,371.0,19.0,,,
2021-09-26,1537.0,398.0,4.0,,,
2021-09-27,1279.0,362.0,6.0,,,
2021-09-28,1713.0,515.0,8.0,,,
2021-09-29,1811.0,448.0,9.0,,,
2021-09-30,2022.0,452.0,4.0,,,
2021-10-01,2077.0,819.0,13.0,,,
2021-10-02,1938.0,412.0,6.0,,,
2021-10-03,1676.0,373.0,8.0,,,
2021-10-04,1859.0,601.0,15.0,,,
2021-10-05,2768.0,713.0,5.0,,,
2021-10-06,2933.0,630.0,14.0,,,
2021-10-07,2784.0,692.0,7.0,,,
2021-10-08,2825.0,765.0,0.0,,,
2021-10-09,2868.0,832.0,3.0,,,
2021-10-10,2176.0,631.0,2.0,,,
2021-10-11,1949.0,306.0,8.0,,,
2021-10-12,,,,2721.0,251.0,4.0
2021-10-13,,,,2688.0,498.0,4.0
2021-10-14,,,,2412.0,517.0,3.0
2021-10-15,,,,2823.0,620.0,2.0
2021-10-16,,,,2688.0,656.0,4.0
2021-10-17,,,,2454.0,601.0,3.0
2021-10-18,,,,2008.0,544.0,1.0
2021-10-19,,,,3480.0,501.0,13.0
2021-10-20,,,,3221.0,630.0,11.0
2021-10-21,,,,2937.0,500.0,2.0
2021-10-22,,,,3039.0,592.0,6.0
2021-10-23,,,,2804.0,790.0,4.0
2021-10-24,,,,2708.0,667.0,8.0
2021-10-25,,,,2843.0,322.0,9.0
2021-10-26,,,,2984.0,288.0,5.0
2021-10-27,,,,4651.0,661.0,12.0
2021-10-28,,,,3171.0,252.0,9.0
2021-10-29,,,,3710.0,536.0,2.0
2021-10-30,,,,2608.0,500.0,4.0
2021-10-31,,,,2745.0,414.0,4.0
2021-11-01,,,,2189.0,278.0,3.0
2021-11-02,,,,3352.0,141.0,3.0
2021-11-03,,,,3223.0,409.0,3.0
2021-11-04,,,,2780.0,220.0,3.0
2021-11-05,,,,1639.0,120.0,8.0
2021-11-06,,,,2928.0,102.0,5.0
2021-11-07,,,,2343.0,205.0,5.0
2021-11-08,,,,2307.0,156.0,7.0
2021-11-09,,,,3222.0,169.0,6.0
2021-11-10,,,,3244.0,229.0,8.0
2021-11-11,,,,2243.0,136.0,17.0
2021-11-12,,,,2965.0,128.0,5.0
2021-11-13,,,,2179.0,120.0,5.0
2021-11-14,,,,1651.0,66.0,6.0
2021-11-15,,,,1964.0,101.0,4.0
2021-11-16,,,,2021.0,43.0,5.0
2021-11-17,,,,3320.0,144.0,10.0
2021-11-18,,,,1964.0,67.0,7.0
2021-11-19,,,,1633.0,97.0,4.0
2021-11-20,,,,1867.0,58.0,6.0
2021-11-21,,,,1577.0,80.0,13.0
2021-11-22,,,,1415.0,40.0,6.0
2021-11-23,,,,1753.0,21.0,8.0
2021-11-24,,,,2030.0,40.0,9.0
2021-11-25,,,,1228.0,31.0,16.0
2021-11-26,,,,1064.0,22.0,4.0
2021-11-27,,,,1689.0,63.0,9.0
2021-11-28,,,,719.0,25.0,3.0
2021-11-29,,,,1070.0,25.0,8.0
2021-11-30,,,,1193.0,24.0,22.0
2021-12-01,,,,1266.0,45.0,13.0
2021-12-02,,,,1050.0,41.0,10.0
2021-12-03,,,,738.0,11.0,17.0
2021-12-04,,,,707.0,24.0,12.0
2021-12-05,,,,523.0,14.0,15.0
2021-12-06,,,,638.0,13.0,11.0
2021-12-07,,,,700.0,5.0,10.0
2021-12-08,,,,679.0,20.0,10.0
2021-12-09,,,,649.0,16.0,17.0
2021-12-10,,,,436.0,4.0,14.0
2021-12-11,,,,532.0,6.0,21.0
2021-12-12,,,,355.0,4.0,11.0
2021-12-13,,,,318.0,6.0,15.0
2021-12-14,,,,401.0,8.0,33.0
2021-12-15,,,,442.0,10.0,22.0
2021-12-16,,,,315.0,9.0,31.0
2021-12-17,,,,371.0,6.0,35.0
2021-12-18,,,,221.0,6.0,44.0
2021-12-19,,,,182.0,6.0,67.0
2021-12-20,,,,141.0,5.0,49.0
2021-12-21,,,,221.0,5.0,54.0
2021-12-22,,,,245.0,14.0,76.0
2021-12-23,,,,226.0,7.0,89.0
2021-12-24,,,,177.0,9.0,79.0
2021-12-25,,,,177.0,5.0,66.0
2021-12-26,,,,105.0,4.0,100.0
2021-12-27,,,,141.0,5.0,134.0
2021-12-28,,,,191.0,1.0,173.0
2021-12-29,,,,182.0,6.0,153.0
2021-12-30,,,,193.0,4.0,114.0
2021-12-31,,,,165.0,7.0,172.0
2022-01-01,,,,187.0,9.0,260.0
2022-01-02,,,,128.0,4.0,297.0
2022-01-03,,,,177.0,2.0,285.0
2022-01-04,,,,334.0,6.0,502.0
2022-01-05,,,,353.0,13.0,439.0
2022-01-06,,,,404.0,19.0,390.0
2022-01-07,,,,366.0,15.0,396.0
2022-01-08,,,,253.0,14.0,544.0
2022-01-09,,,,242.0,16.0,587.0
2022-01-10,,,,250.0,13.0,487.0
2022-01-11,,,,411.0,35.0,400.0
2022-01-12,,,,441.0,45.0,396.0
2022-01-13,,,,450.0,31.0,479.0
2022-01-14,,,,527.0,55.0,363.0
2022-01-15,,,,478.0,74.0,404.0
2022-01-16,,,,449.0,51.0,363.0
2022-01-17,,,,565.0,66.0,534.0
2022-01-18,,,,917.0,73.0,458.0
2022-01-19,,,,1104.0,101.0,410.0
2022-01-20,,,,1012.0,121.0,339.0
2022-01-21,,,,1161.0,117.0,338.0
2022-01-22,,,,591.0,45.0,237.0
2022-01-23,,,,1438.0,139.0,430.0
2022-01-24,,,,951.0,43.0,371.0
2022-01-25,,,,1555.0,107.0,400.0
