,Persons under quarantine in Home Quarantine Order,Persons under quarantine in Government Quarantine Facility,Persons under quarantine in situ,Persons under quarantine being transferred to hospital,Persons under quarantine in process,Persons under quarantine pending decant,Persons under quarantine out of country
2020-04-01,4145.0,510.0,,148.0,,,
2020-04-02,4289.0,870.0,,102.0,,,
2020-04-03,3992.0,900.0,,115.0,,,
2020-04-04,4118.0,1719.0,,147.0,,,
2020-04-05,4045.0,1792.0,,158.0,,,
2020-04-06,3542.0,1913.0,,163.0,,,
2020-04-07,2638.0,1873.0,,170.0,,,
2020-04-08,3047.0,2493.0,,125.0,,,
2020-04-09,3097.0,2386.0,,159.0,,,
2020-04-10,3251.0,4314.0,,158.0,,,
2020-04-11,2901.0,3704.0,,154.0,,,
2020-04-12,3336.0,4341.0,,153.0,,,
2020-04-13,3017.0,4220.0,,147.0,,,
2020-04-14,4182.0,2069.0,,155.0,,,
2020-04-15,8144.0,1245.0,,139.0,,,
2020-04-16,7750.0,1547.0,,115.0,,,
2020-04-17,7360.0,1490.0,,60.0,,,
2020-04-18,7672.0,1378.0,,61.0,,,
2020-04-19,8206.0,1353.0,,66.0,,,
2020-04-20,8756.0,1485.0,,53.0,,,
2020-04-21,10374.0,1727.0,,94.0,,,
2020-04-22,11384.0,2802.0,,118.0,,,
2020-04-23,11459.0,2813.0,,211.0,,,
2020-04-24,12047.0,3049.0,,203.0,,,
2020-04-25,14198.0,3024.0,,301.0,,,
2020-04-26,15756.0,3564.0,,0.0,,,
2020-04-27,2850.0,3612.0,12822.0,399.0,4580.0,,
2020-04-28,2866.0,4198.0,14031.0,355.0,8014.0,,
2020-04-29,2712.0,3668.0,16198.0,480.0,3335.0,,
2020-04-30,2339.0,4721.0,15495.0,399.0,3756.0,,
2020-05-01,2058.0,4296.0,15365.0,411.0,3494.0,,
2020-05-02,1093.0,5215.0,15404.0,355.0,3026.0,,
2020-05-03,1705.0,4965.0,15193.0,363.0,3026.0,,
2020-05-04,1527.0,7566.0,14627.0,367.0,4653.0,,
2020-05-05,1477.0,7793.0,16907.0,424.0,2339.0,,
2020-05-06,673.0,8237.0,17437.0,367.0,1931.0,,
2020-05-07,632.0,8189.0,17419.0,360.0,1490.0,,
2020-05-08,584.0,9014.0,17068.0,294.0,1581.0,,
2020-05-09,592.0,9184.0,17436.0,310.0,1286.0,,
2020-05-10,529.0,10251.0,16040.0,281.0,1848.0,,
2020-05-11,474.0,10022.0,16446.0,336.0,1253.0,,
2020-05-12,450.0,10473.0,17329.0,315.0,1613.0,,
2020-05-13,455.0,10484.0,17925.0,273.0,1597.0,,
2020-05-14,396.0,10627.0,18688.0,264.0,1684.0,,
2020-05-15,357.0,9223.0,19870.0,224.0,1615.0,,
2020-05-16,324.0,10109.0,19301.0,200.0,1462.0,,
2020-05-17,340.0,9585.0,20167.0,193.0,1233.0,,
2020-05-18,294.0,9684.0,19588.0,182.0,1371.0,,
2020-05-19,278.0,8761.0,19188.0,186.0,1083.0,,
2020-05-20,239.0,8789.0,17927.0,104.0,1083.0,,
2020-05-21,234.0,8230.0,18119.0,164.0,1057.0,,
2020-05-22,236.0,8445.0,16725.0,167.0,1088.0,,
2020-05-23,245.0,8819.0,16768.0,166.0,922.0,,
2020-05-24,246.0,9292.0,15031.0,159.0,1345.0,,
2020-05-25,302.0,9856.0,12909.0,151.0,1230.0,,
2020-05-26,291.0,10840.0,11492.0,150.0,1442.0,,
2020-05-27,218.0,10468.0,10934.0,136.0,1518.0,,
2020-05-28,225.0,11783.0,8105.0,118.0,630.0,,
2020-05-29,217.0,10792.0,7158.0,102.0,1059.0,,
2020-05-30,223.0,10802.0,7347.0,88.0,1304.0,,
2020-05-31,220.0,10940.0,6588.0,74.0,702.0,,
2020-06-01,203.0,11520.0,6635.0,72.0,1045.0,,
2020-06-02,265.0,12442.0,6225.0,98.0,780.0,,
2020-06-03,287.0,11068.0,5874.0,53.0,1529.0,,
2020-06-04,239.0,10984.0,5120.0,38.0,816.0,,
2020-06-05,213.0,10316.0,5458.0,42.0,1098.0,,
2020-06-06,169.0,10155.0,7043.0,44.0,693.0,,
2020-06-07,191.0,9911.0,6618.0,62.0,1482.0,,
2020-06-08,264.0,9729.0,7283.0,61.0,1372.0,,
2020-06-09,357.0,9449.0,7702.0,27.0,1979.0,,
2020-06-10,352.0,9317.0,7341.0,17.0,2372.0,,
2020-06-11,385.0,9047.0,9564.0,17.0,0.0,,
2020-06-12,442.0,8620.0,10456.0,19.0,370.0,,
2020-06-13,334.0,8444.0,10902.0,16.0,288.0,,
2020-06-14,478.0,8188.0,9261.0,12.0,1054.0,,
2020-06-15,442.0,7930.0,10394.0,37.0,267.0,,
2020-06-16,501.0,8058.0,10022.0,34.0,68.0,,
2020-06-17,366.0,8082.0,9501.0,25.0,175.0,,
2020-06-18,415.0,7962.0,8707.0,18.0,12.0,,
2020-06-19,477.0,7907.0,8310.0,11.0,213.0,,
2020-06-20,362.0,7612.0,8030.0,7.0,255.0,,
2020-06-21,371.0,7373.0,8230.0,5.0,909.0,,
2020-06-22,343.0,7255.0,7046.0,3.0,1233.0,,
2020-06-23,344.0,7306.0,4998.0,3.0,1469.0,,
2020-06-24,252.0,7104.0,6247.0,4.0,710.0,,
