,Quarantine Orders issued
2020-04-01,692
2020-04-02,495
2020-04-03,1016
2020-04-04,1049
2020-04-05,503
2020-04-06,400
2020-04-07,766
2020-04-08,818
2020-04-09,725
2020-04-10,1138
2020-04-11,1889
2020-04-12,3205
2020-04-13,2471
2020-04-14,1241
2020-04-15,3078
2020-04-16,2163
2020-04-17,2197
2020-04-18,614
2020-04-19,1827
2020-04-20,1066
2020-04-21,3035
2020-04-22,3701
2020-04-23,4082
2020-04-24,4777
2020-04-25,2856
2020-04-26,4759
2020-04-27,3639
2020-04-28,3702
2020-04-29,1905
2020-04-30,1836
2020-05-01,1668
2020-05-02,1649
2020-05-03,1895
2020-05-04,2133
2020-05-05,2373
2020-05-06,1243
2020-05-07,1575
2020-05-08,1624
2020-05-09,1156
2020-05-10,2036
2020-05-11,1383
2020-05-12,2420
2020-05-13,1599
2020-05-14,1652
2020-05-15,916
2020-05-16,1023
2020-05-17,991
2020-05-18,362
2020-05-19,371
2020-05-20,506
2020-05-21,488
2020-05-22,318
2020-05-23,350
2020-05-24,393
2020-05-25,388
2020-05-26,479
2020-05-27,82
2020-05-28,254
2020-05-29,400
2020-05-30,394
2020-05-31,428
2020-06-01,1046
2020-06-02,232
2020-06-03,117
2020-06-04,1097
2020-06-05,598
2020-06-06,1155
2020-06-07,872
2020-06-08,1357
2020-06-09,1121
2020-06-10,373
2020-06-11,764
2020-06-12,1313
2020-06-13,488
2020-06-14,613
2020-06-15,972
2020-06-16,361
2020-06-17,295
2020-06-18,474
2020-06-19,179
2020-06-20,316
2020-06-21,786
2020-06-22,1124
2020-06-23,188
2020-06-24,1118
2020-06-25,1171
2020-06-26,676
2020-06-27,263
2020-06-28,885
2020-06-29,1169
2020-06-30,785
2020-07-01,802
2020-07-02,334
2020-07-03,467
2020-07-04,199
2020-07-05,923
2020-07-06,1164
2020-07-07,365
2020-07-08,356
2020-07-09,860
2020-07-10,1261
2020-07-11,502
2020-07-12,2071
2020-07-13,890
2020-07-14,1086
2020-07-15,1044
2020-07-16,1640
2020-07-17,1863
2020-07-18,1366
2020-07-19,1258
2020-07-20,1303
