,Number in SHN (Hotel),Number in SHN (Home)
2020-02-19,0.0,247.0
2020-02-20,0.0,466.0
2020-02-21,0.0,729.0
2020-02-22,0.0,978.0
2020-02-23,0.0,1294.0
2020-02-24,0.0,1634.0
2020-02-25,0.0,1856.0
2020-02-26,0.0,2462.0
2020-02-27,0.0,2801.0
2020-02-28,0.0,3217.0
2020-02-29,0.0,3605.0
2020-03-01,0.0,4033.0
2020-03-02,0.0,4480.0
2020-03-03,0.0,4914.0
2020-03-04,0.0,5447.0
2020-03-05,0.0,5604.0
2020-03-06,0.0,5882.0
2020-03-07,0.0,5985.0
2020-03-08,0.0,6066.0
2020-03-09,0.0,6160.0
2020-03-10,0.0,6225.0
2020-03-11,0.0,6338.0
2020-03-12,0.0,6059.0
2020-03-13,0.0,6030.0
2020-03-14,0.0,5850.0
2020-03-15,0.0,5710.0
2020-03-16,0.0,5813.0
2020-03-17,0.0,10337.0
2020-03-18,0.0,15737.0
2020-03-19,0.0,19687.0
2020-03-20,0.0,23985.0
2020-03-21,0.0,30263.0
2020-03-22,0.0,34695.0
2020-03-23,0.0,38089.0
2020-03-24,0.0,40447.0
2020-03-25,0.0,42827.0
2020-03-26,145.0,44397.0
2020-03-27,738.0,45259.0
2020-03-28,1227.0,46036.0
2020-03-29,1625.0,46921.0
2020-03-30,1777.0,47131.0
2020-03-31,2177.0,47026.0
2020-04-01,2526.0,42738.0
2020-04-02,2760.0,37171.0
2020-04-03,2796.0,33092.0
2020-04-04,2844.0,28877.0
2020-04-05,2876.0,22539.0
2020-04-06,3028.0,18057.0
2020-04-07,3197.0,14504.0
2020-04-08,3347.0,12080.0
2020-04-09,3563.0,9468.0
2020-04-10,4090.0,7563.0
2020-04-11,3898.0,6396.0
2020-04-12,3686.0,5309.0
2020-04-13,3515.0,4191.0
2020-04-14,3621.0,3750.0
2020-04-15,3413.0,3324.0
2020-04-16,3210.0,2641.0
2020-04-17,3165.0,2374.0
2020-04-18,3221.0,1997.0
2020-04-19,3298.0,1510.0
2020-04-20,3445.0,1073.0
2020-04-21,3403.0,757.0
2020-04-22,3351.0,592.0
2020-04-23,3292.0,263.0
2020-04-24,3292.0,90.0
2020-04-25,2702.0,109.0
2020-04-26,2441.0,91.0
2020-04-27,2310.0,95.0
2020-04-28,2217.0,96.0
2020-04-29,2056.0,81.0
2020-04-30,1996.0,101.0
2020-05-01,1982.0,105.0
2020-05-02,1894.0,105.0
2020-05-03,1918.0,79.0
2020-05-04,1906.0,81.0
2020-05-05,1826.0,102.0
2020-05-06,1821.0,117.0
